state_province,especie
Huelva,Chroicocephalus ridibundus
Zamora,Aegithalos caudatus
Madrid,Motacilla cinerea
Len,Corvus corax
Asturias,Pica pica
Segovia,Erithacus rubecula
Madrid,Phylloscopus collybita
Alacant/Alicante,Corvus corone
Araba/lava,Falco tinnunculus
Ciudad Real,Ardea purpurea
Madrid,Milvus migrans
Lleida,Cyanistes caeruleus
Girona,Myiopsitta monachus
Murcia,Cyanistes caeruleus
Tarragona,Merops apiaster
Barcelona,Certhia brachydactyla
Zamora,Motacilla cinerea
Segovia,Apus apus
Zamora,Oriolus oriolus
Zamora,Petronia petronia
Tarragona,Sylvia melanocephala
Zamora,Buteo buteo
Illes Balears,Cettia cetti
Las Palmas,Petronia petronia
Araba/lava,Cethia brachydactyla
Lleida,Alauda arvensis
Lleida,Apus apus
Zamora,Upupa epops
Alacant/Alicante,Phoenicurus ochruros
Albacete,Dendrocopos major
Barcelona,Accipiter nisus
Asturias,"0      NaN
1      NaN
2      NaN
3      NaN
4      NaN
      ... 
243    NaN
244    NaN
245    NaN
246    NaN
247    NaN
Name: nombre, Length: 248, dtype: object"
Barcelona,Gyps fulvus
Girona,Circaetus gallicus
Santa Cruz de Tenerife,Turdus merula
Palencia,Phoenicurus ochruros
Huelva,Falco tinnunculus
Zamora,Chroicocephalus ridibundus
Murcia,Oriolus oriolus
Alacant/Alicante,Sturnus vulgaris
Alacant/Alicante,Falco peregrinus
Huelva,Turdus merula
Asturias,Fringilla coelebs
Segovia,Lanius meridionalis
Murcia,Riparia riparia
Araba/lava,Columba palumbus
Albacete,Delichon urbicum
Pontevedra,Motacilla alba
Segovia,Ciconia ciconia
Ciudad Real,Aythya nyroca
Barcelona,Fringilla coelebs
Murcia,Fulica atra
Tarragona,Corvus corax
Tarragona,"0      NaN
1      NaN
2      NaN
3      NaN
4      NaN
      ... 
243    NaN
244    NaN
245    NaN
246    NaN
247    NaN
Name: nombre, Length: 248, dtype: object"
Zaragoza,Sylvia melanocephala
Bizkaia,Garrulus glandarius
Lleida,Himantopus himantopus
Lleida,"0      NaN
1      NaN
2      NaN
3      NaN
4      NaN
      ... 
243    NaN
244    NaN
245    NaN
246    NaN
247    NaN
Name: nombre, Length: 248, dtype: object"
Madrid,Aegypius monachus
Asturias,Corvus corone
Segovia,Corvus corone
Santa Cruz de Tenerife,Columba livia
Pontevedra,Pyrrhula pyrrhula
Albacete,"0      NaN
1      NaN
2      NaN
3      NaN
4      NaN
      ... 
243    NaN
244    NaN
245    NaN
246    NaN
247    NaN
Name: nombre, Length: 248, dtype: object"
Murcia,Picus viridis
Ciudad Real,Fulica atra
Len,Chroicocephalus ridibundus
Murcia,Bubulcus ibis
Asturias,Passer domesticus
Alacant/Alicante,Gallinula chloropus
Segovia,Milvus milvus
Zamora,Luscinia megarhynchos
Zamora,Saxicola rubicola
Albacete,Alectoris rufa
Madrid,Passer montanus
Pontevedra,Sylvia atricapilla
A Corua,Dendrocopos major
Pontevedra,Passer domesticus
Asturias,Serinus serinus
Zamora,Acrocephalus scirpaceus
Zamora,Streptopelia turtur
Len,Streptopelia roseogrisea
Ciudad Real,Anas crecca
Alacant/Alicante,Cettia cetti
Huelva,Phylloscopus collybita
Araba/lava,Motacilla cinerea
Ciudad Real,Podiceps nigricollis
